代號,名稱,年月,ROA(A)稅後息前%,ROA－綜合損益,ROE(A)－稅後,ROE(B)－常續利益,ROE－綜合損益,常續利益率－稅後(A),稅後淨利率(A),常續性每股盈餘,營收成長率(A),稅後淨利成長率,經常淨利成長率,常續淨利成長率,總資產成長率,淨值成長率,總負債/總淨值,負債比率,淨值/資產
2884,玉山金,21-Sep,0.53,0.51,8.57,8.57,8.2,36.78,36.78,1.48,1.52,13.91,13.91,13.91,9.73,7.16,1509.37,93.79,6.21
2885,元大金,21-Sep,1.08,0.85,11.13,11.13,8.75,32.15,32.15,2.71,15.61,48.66,48.66,48.66,14.31,6.73,956.08,90.53,9.47
2886,兆豐金,21-Sep,0.49,0.46,6.06,6.06,5.65,43.63,43.63,1.9,-1.48,3.99,3.99,3.91,11.61,1.1,1199.78,92.31,7.69
2887,台新金,21-Sep,0.76,0.71,9.35,9.35,8.71,37.66,37.66,1.65,40.0,51.37,51.37,51.37,15.51,6.63,1168.44,92.12,7.88
2888,新光金,21-Sep,0.48,0.1,8.81,8.81,1.86,12.72,12.72,1.29,-21.69,22.32,22.32,22.32,7.89,1.96,1737.83,94.56,5.44
2889,國票金,21-Sep,1.08,0.85,8.23,8.23,6.43,46.02,46.03,1.29,23.42,25.79,25.79,25.76,12.3,5.28,675.16,87.1,12.9
2890,永豐金,21-Sep,0.58,0.53,8.11,8.11,7.4,36.4,36.4,1.4,19.64,38.52,38.52,38.52,11.53,5.88,1320.94,92.96,7.04
2891,中信金,21-Sep,0.7,0.46,11.34,11.34,7.56,34.08,34.08,2.67,-14.92,28.64,28.64,28.64,4.1,11.35,1525.64,93.85,6.15
2892,第一金,21-Sep,0.46,0.38,7.44,7.44,6.03,34.87,34.86,1.54,9.19,23.5,23.5,23.53,7.71,3.11,1525.55,93.85,6.15
5880,合庫金,21-Sep,0.39,0.35,6.88,6.88,6.1,39.62,39.62,1.51,9.0,32.91,32.91,32.91,7.81,3.78,1692.02,94.42,5.58
2880,華南金,21-Jun,0.29,0.32,4.77,4.77,5.28,36.69,36.69,1.28,49.05,530.55,530.55,530.55,15.31,9.89,1551.83,93.95,6.05
2881,富邦金,21-Jun,0.93,1.16,10.85,10.85,13.51,33.24,33.24,12.31,10.29,139.52,139.52,139.52,12.83,44.17,1039.7,91.23,8.77
2882,國泰金,21-Jun,0.82,0.27,10.16,10.16,3.29,26.47,26.47,9.88,7.67,179.85,179.85,179.85,9.39,14.0,1161.23,92.07,7.93
2883,開發金,21-Jun,0.7,-0.03,7.6,7.6,-0.34,24.76,24.76,1.77,-5.11,239.7,239.7,239.7,8.86,10.53,1025.28,91.11,8.89
2884,玉山金,21-Jun,0.34,0.36,5.48,5.48,5.67,36.57,36.57,1.46,-3.12,5.78,5.78,5.78,11.23,11.2,1456.97,93.58,6.42
2885,元大金,21-Jun,0.75,0.66,7.86,7.86,6.95,31.88,31.88,2.69,32.0,84.77,84.77,84.77,17.78,8.95,987.48,90.8,9.2
2886,兆豐金,21-Jun,0.31,0.33,3.88,3.88,4.12,42.77,42.77,1.93,-3.31,10.87,10.87,10.75,11.13,1.58,1229.91,92.48,7.52
2887,台新金,21-Jun,0.55,0.52,6.74,6.74,6.32,46.19,46.19,1.7,29.01,81.97,81.97,81.97,18.87,11.24,1147.08,91.98,8.02
2888,新光金,21-Jun,0.31,0.13,5.56,5.56,2.41,11.87,11.87,1.55,-23.0,73.98,73.98,73.97,8.23,6.06,1737.61,94.56,5.44
2889,國票金,21-Jun,0.78,0.55,5.9,5.9,4.19,48.9,48.91,1.4,41.42,55.9,55.9,55.87,14.62,11.26,669.8,87.01,12.99
2890,永豐金,21-Jun,0.39,0.37,5.37,5.37,5.16,37.5,37.5,1.35,23.33,52.06,52.06,52.06,15.13,12.19,1290.23,92.81,7.19
2891,中信金,21-Jun,0.5,0.36,8.02,8.02,5.67,39.08,39.08,2.93,-22.6,74.41,74.41,74.41,4.91,18.62,1461.01,93.59,6.41
2892,第一金,21-Jun,0.31,0.22,4.85,4.85,3.54,34.83,34.82,1.48,11.72,24.52,24.52,24.57,11.31,7.96,1471.15,93.64,6.36
5880,合庫金,21-Jun,0.24,0.26,4.2,4.2,4.47,38.55,38.55,1.39,9.47,26.63,26.63,26.63,9.3,9.29,1635.86,94.24,5.76
2880,華南金,21-Mar,0.13,0.13,2.11,2.11,2.09,32.51,32.51,1.1,111.3,378.64,378.64,378.64,18.36,7.86,1595.21,94.1,5.9
2881,富邦金,21-Mar,0.55,0.56,6.39,6.39,6.51,35.13,35.13,11.33,11.25,124.75,124.75,124.75,13.15,65.69,1037.4,91.21,8.79
2882,國泰金,21-Mar,0.52,-0.35,6.51,6.51,-4.42,30.36,30.36,7.99,16.98,144.83,144.83,144.83,10.39,29.16,1181.28,92.2,7.8
2883,開發金,21-Mar,0.43,-0.49,4.73,4.73,-5.42,27.85,27.85,1.54,2.72,740.74,740.74,740.74,10.02,21.58,1064.35,91.41,8.59
2884,玉山金,21-Mar,0.18,0.18,2.82,2.82,2.94,38.01,38.01,1.47,-1.9,14.62,14.62,14.62,12.68,6.06,1461.54,93.6,6.4
2885,元大金,21-Mar,0.38,0.3,3.87,3.87,3.04,31.09,31.09,2.42,39.62,145.17,145.17,145.17,13.17,14.29,905.98,90.06,9.94
2886,兆豐金,21-Mar,0.16,0.09,1.89,1.89,1.14,42.64,42.64,2.16,35.13,222.51,222.51,221.78,11.74,1.7,1134.15,91.9,8.1
2887,台新金,21-Mar,0.2,0.15,2.38,2.38,1.82,37.33,37.33,1.34,20.05,74.78,74.78,74.78,6.39,5.63,1080.14,91.53,8.47
2888,新光金,21-Mar,0.21,-0.25,3.99,3.99,-4.58,16.72,16.72,1.24,-18.71,23.74,23.74,23.74,9.81,19.65,1820.78,94.79,5.21
2889,國票金,21-Mar,0.47,0.06,3.54,3.54,0.46,52.61,52.61,1.44,92.07,227.14,227.14,227.14,14.89,10.52,668.06,86.98,13.02
2890,永豐金,21-Mar,0.2,0.13,2.8,2.8,1.85,37.54,37.54,1.27,33.78,87.36,87.36,87.36,15.57,8.78,1294.13,92.83,7.17
2891,中信金,21-Mar,0.3,0.05,4.84,4.84,0.8,41.39,41.39,2.53,-24.23,62.07,62.07,62.07,4.13,19.46,1522.87,93.84,6.16
2892,第一金,21-Mar,0.14,0.1,2.26,2.26,1.61,31.55,31.54,1.47,17.13,71.21,71.21,71.26,10.21,4.46,1474.74,93.65,6.35
5880,合庫金,21-Mar,0.11,0.08,2.0,2.0,1.44,36.72,36.72,1.29,14.99,16.4,16.4,16.4,11.22,6.14,1643.24,94.26,5.74
2880,華南金,20-Dec,0.3,0.26,4.58,4.58,3.98,21.65,21.65,0.67,-14.43,-45.76,-45.76,-45.76,13.52,0.37,1537.28,93.89,6.11
2881,富邦金,20-Dec,1.02,2.02,13.03,13.03,25.74,19.09,19.09,8.54,6.36,52.71,52.71,52.71,8.15,25.35,1090.09,91.6,8.4
2882,國泰金,20-Dec,0.72,1.49,9.01,9.01,18.52,12.06,12.06,5.41,13.32,18.95,18.95,18.95,8.79,15.7,1110.3,91.74,8.26
2883,開發金,20-Dec,0.64,1.43,6.57,6.57,14.72,9.2,9.2,0.85,-6.06,5.2,5.2,5.2,13.46,12.2,932.58,90.32,9.68
2884,玉山金,20-Dec,0.66,0.62,10.17,10.08,9.6,31.79,32.09,1.42,3.17,-10.3,-10.3,-10.91,18.95,4.86,1536.42,93.89,6.11
2885,元大金,20-Dec,1.0,1.18,9.92,9.92,11.69,22.47,22.47,1.99,7.45,17.32,17.32,17.32,14.22,9.36,907.88,90.08,9.92
2886,兆豐金,20-Dec,0.66,0.68,7.69,7.69,7.88,41.16,41.14,1.84,-6.84,-13.6,-13.6,-13.55,4.69,0.78,1080.8,91.53,8.47
2887,台新金,20-Dec,0.69,0.71,7.94,7.94,8.2,32.82,32.82,1.17,1.15,0.02,0.02,0.02,8.13,3.96,1079.98,91.53,8.47
2888,新光金,20-Dec,0.34,0.17,6.03,6.03,3.04,5.39,5.39,1.1,-3.98,-27.35,-27.35,-27.35,8.12,1.54,1703.6,94.46,5.54
2889,國票金,20-Dec,1.24,1.66,9.05,9.05,12.1,43.58,43.58,1.13,22.87,24.16,24.16,25.92,10.57,7.3,641.16,86.51,13.49
2890,永豐金,20-Dec,0.62,0.77,8.05,8.05,10.12,31.4,31.4,1.09,7.32,-1.89,-1.89,-1.89,16.92,5.06,1275.09,92.73,7.27
2891,中信金,20-Dec,0.67,0.69,10.9,10.9,11.31,22.04,22.04,2.15,-26.56,-0.06,-0.06,1.82,6.39,6.32,1532.49,93.87,6.13
2892,第一金,20-Dec,0.5,0.43,7.62,7.62,6.6,28.22,28.22,1.31,-4.41,-13.22,-13.22,-13.22,8.97,0.67,1479.74,93.67,6.33
5880,合庫金,20-Dec,0.43,0.56,7.38,7.38,9.44,33.1,33.1,1.24,5.44,-2.71,-2.71,-2.71,10.9,4.75,1644.79,94.27,5.73
2880,華南金,20-Sep,0.17,0.11,2.64,2.64,1.69,17.21,17.21,0.61,-20.68,-62.02,-62.02,-62.02,9.95,-0.23,1490.19,93.71,6.29
2881,富邦金,20-Sep,0.78,0.86,10.6,10.6,11.62,18.5,18.5,6.85,8.1,26.69,26.69,26.69,8.58,13.22,1232.82,92.5,7.5
2882,國泰金,20-Sep,0.62,0.7,8.02,8.02,8.97,13.59,13.59,5.43,23.9,23.51,23.51,23.51,6.26,12.61,1180.82,92.19,7.81
2883,開發金,20-Sep,0.53,0.43,5.68,5.68,4.57,9.82,9.82,0.75,-9.03,-3.5,-3.5,-3.5,7.92,2.1,1010.53,91.0,9.0
2884,玉山金,20-Sep,0.53,0.47,7.97,7.97,7.09,32.78,32.78,1.45,4.39,-11.76,-11.76,-11.76,13.9,4.65,1471.7,93.64,6.36
2885,元大金,20-Sep,0.83,0.89,8.09,8.09,8.7,25.0,25.0,1.88,7.42,12.38,12.38,12.38,9.9,7.08,886.06,89.86,10.14
2886,兆豐金,20-Sep,0.51,0.51,5.89,5.89,5.9,41.36,41.34,1.85,-7.52,-16.69,-16.69,-16.64,6.4,0.26,1077.47,91.51,8.49
2887,台新金,20-Sep,0.56,0.56,6.5,6.5,6.44,34.83,34.83,1.15,2.33,-1.3,-1.3,-1.3,6.62,3.7,1070.94,91.46,8.54
2888,新光金,20-Sep,0.43,-0.03,7.33,7.33,-0.49,8.14,8.14,1.34,6.12,-12.09,-12.09,-12.09,7.03,5.3,1636.84,94.24,5.76
2889,國票金,20-Sep,0.96,1.22,6.95,6.95,8.86,45.16,45.16,1.03,17.35,15.92,15.92,17.96,5.15,4.67,626.72,86.24,13.76
2890,永豐金,20-Sep,0.48,0.53,6.18,6.18,6.89,31.44,31.44,1.08,5.2,-2.91,-2.91,-2.91,11.44,3.43,1248.97,92.59,7.41
2891,中信金,20-Sep,0.57,0.18,9.59,9.59,3.08,22.54,22.54,2.0,-19.19,-5.37,-5.37,-5.37,2.09,-1.12,1638.89,94.25,5.75
2892,第一金,20-Sep,0.41,0.29,6.14,6.14,4.44,30.82,30.82,1.35,-7.79,-13.0,-13.0,-13.0,11.6,0.29,1456.06,93.57,6.43
5880,合庫金,20-Sep,0.32,0.42,5.4,5.4,7.08,32.49,32.49,1.22,5.11,-6.28,-6.28,-6.28,8.72,4.32,1625.06,94.2,5.8
2880,華南金,20-Jun,0.05,-0.01,0.8,0.8,-0.1,8.67,8.67,0.7,-28.9,-82.62,-82.62,-82.62,6.65,-0.37,1474.17,93.65,6.35
2881,富邦金,20-Jun,0.43,0.14,6.1,6.1,1.94,15.31,15.31,6.11,25.97,34.9,34.9,34.9,9.07,7.55,1356.21,93.13,6.87
2882,國泰金,20-Jun,0.32,0.34,4.17,4.17,4.39,10.18,10.18,4.41,32.26,-4.2,-4.2,-4.2,6.25,12.66,1214.32,92.39,7.61
2883,開發金,20-Jun,0.23,-0.05,2.49,2.49,-0.54,6.92,6.92,0.55,-17.61,-37.96,-37.96,-37.96,7.71,-0.46,1042.5,91.25,8.75
2884,玉山金,20-Jun,0.37,0.34,5.6,5.6,5.04,33.5,33.5,1.55,8.34,-5.68,-5.68,-5.68,13.05,5.4,1456.54,93.58,6.42
2885,元大金,20-Jun,0.47,0.49,4.64,4.64,4.85,22.78,22.78,1.69,3.56,-1.42,-1.42,-1.42,7.1,4.88,906.01,90.06,9.94
2886,兆豐金,20-Jun,0.3,0.33,3.54,3.54,3.92,37.34,37.3,1.83,-8.79,-26.52,-26.52,-26.43,5.7,0.34,1115.6,91.77,8.23
2887,台新金,20-Jun,0.35,0.34,3.99,3.99,3.94,32.75,32.75,1.07,-0.44,-13.41,-13.41,-13.41,7.62,2.83,1067.08,91.43,8.57
2888,新光金,20-Jun,0.19,-0.05,3.32,3.32,-0.95,5.25,5.25,1.28,9.57,-29.16,-29.16,-29.15,7.54,3.43,1700.69,94.45,5.55
2889,國票金,20-Jun,0.56,0.79,4.14,4.14,5.81,44.37,44.37,0.94,13.23,9.55,9.55,9.55,2.34,5.49,647.21,86.62,13.38
2890,永豐金,20-Jun,0.3,0.31,3.83,3.83,3.95,30.41,30.41,1.03,-1.14,-13.82,-13.82,-13.82,11.5,2.26,1254.77,92.62,7.38
2891,中信金,20-Jun,0.3,0.01,5.16,5.16,0.2,17.34,17.34,2.05,-14.12,-5.97,-5.97,-5.97,3.52,-0.32,1665.09,94.33,5.67
2892,第一金,20-Jun,0.27,0.17,4.06,4.06,2.61,31.24,31.24,1.42,-9.82,-11.6,-11.6,-11.6,7.89,0.61,1423.8,93.44,6.56
5880,合庫金,20-Jun,0.21,0.3,3.55,3.55,5.06,33.32,33.32,1.25,0.32,-5.19,-5.19,-5.19,8.07,4.03,1635.73,94.24,5.76
2880,華南金,20-Mar,-0.05,-0.34,-0.79,-0.79,-5.1,-24.66,-24.66,0.85,-51.72,-134.42,-134.42,-134.42,4.08,-1.42,1444.8,93.53,6.47
2881,富邦金,20-Mar,0.27,-1.23,4.09,4.09,-18.52,17.39,17.39,6.48,21.43,84.37,84.37,84.37,9.33,-6.14,1565.53,94.0,6.0
2882,國泰金,20-Mar,0.23,-1.11,3.24,3.24,-15.41,14.51,14.51,5.33,29.58,73.53,73.53,73.53,5.19,1.28,1399.23,93.33,6.67
2883,開發金,20-Mar,0.06,-1.68,0.65,0.65,-19.16,3.4,3.4,0.6,-23.46,-64.3,-64.3,-64.3,8.61,-5.99,1186.69,92.23,7.77
2884,玉山金,20-Mar,0.18,0.12,2.6,2.6,1.74,32.53,32.53,1.67,3.61,-12.86,-12.86,-12.86,9.62,5.96,1369.74,93.2,6.8
2885,元大金,20-Mar,0.18,-0.16,1.77,1.77,-1.57,17.71,17.71,1.64,-0.88,-25.7,-25.7,-25.7,7.38,0.61,915.91,90.16,9.84
2886,兆豐金,20-Mar,0.05,0.02,0.59,0.6,0.23,17.91,17.87,1.71,-35.29,-74.73,-74.73,-74.67,3.18,-0.01,1023.32,91.1,8.9
2887,台新金,20-Mar,0.12,0.02,1.43,1.43,0.22,25.64,25.64,1.02,-9.6,-41.89,-41.89,-41.89,11.65,2.14,1071.76,91.47,8.53
2888,新光金,20-Mar,0.19,-1.1,3.54,3.54,-20.66,10.99,10.99,1.74,3.2,37.6,37.6,37.6,7.11,10.64,1993.01,95.22,4.78
2889,國票金,20-Mar,0.16,-0.34,1.18,1.18,-2.49,30.89,30.89,0.85,-6.75,-34.54,-34.54,-34.54,4.92,2.88,638.81,86.46,13.54
2890,永豐金,20-Mar,0.13,-0.13,1.6,1.6,-1.62,26.81,26.81,0.98,-10.25,-37.3,-37.3,-37.3,12.12,-0.52,1212.22,92.38,7.62
2891,中信金,20-Mar,0.19,-0.62,3.36,3.36,-10.87,19.35,19.35,2.18,-21.83,9.81,9.81,9.81,6.22,-2.53,1761.71,94.63,5.37
2892,第一金,20-Mar,0.09,-0.14,1.35,1.35,-2.08,21.58,21.57,1.4,-12.84,-38.92,-38.92,-38.93,5.19,0.47,1392.56,93.3,6.7
5880,合庫金,20-Mar,0.11,0.01,1.81,1.81,0.12,36.28,36.28,1.33,-7.34,0.94,0.94,0.94,4.58,2.91,1563.49,93.99,6.01
2880,華南金,19-Dec,0.59,0.77,8.79,8.79,11.48,34.16,34.16,1.31,1.53,9.12,9.12,9.12,1.77,8.35,1347.7,93.09,6.91
2881,富邦金,19-Dec,0.73,2.11,10.95,10.95,31.57,13.3,13.3,5.46,9.02,24.84,24.84,24.84,10.79,32.18,1279.36,92.75,7.25
2882,國泰金,19-Dec,0.66,2.63,9.74,9.74,38.62,11.49,11.49,4.56,17.45,23.23,23.23,23.23,9.12,47.75,1187.1,92.23,7.77
2883,開發金,19-Dec,0.68,2.45,7.56,7.56,27.02,8.21,8.21,0.88,-5.16,53.37,53.37,53.37,11.39,32.61,921.13,90.21,9.79
2884,玉山金,19-Dec,0.84,0.85,12.07,12.04,12.16,36.81,36.9,1.73,10.3,17.78,17.78,18.06,9.2,8.15,1342.63,93.07,6.93
2885,元大金,19-Dec,0.94,1.04,9.09,9.09,10.05,20.58,20.58,1.75,6.25,8.02,8.02,8.02,5.56,5.64,864.93,89.64,10.36
2886,兆豐金,19-Dec,0.8,0.91,9.07,9.07,10.32,44.36,44.36,2.13,5.95,3.07,3.07,3.06,3.99,3.12,1036.68,91.2,8.8
2887,台新金,19-Dec,0.76,0.81,8.19,8.19,8.77,33.19,33.19,1.19,9.79,12.03,12.03,12.03,13.66,2.58,1034.49,91.19,8.81
2888,新光金,19-Dec,0.52,1.31,10.4,10.4,26.27,7.13,7.13,1.58,10.43,89.92,89.92,126.39,10.45,64.52,1593.75,94.1,5.9
2889,國票金,19-Dec,1.07,1.69,7.92,7.81,12.57,42.52,43.13,0.91,24.81,39.7,39.7,37.71,3.05,10.27,619.27,86.1,13.9
2890,永豐金,19-Dec,0.73,0.8,8.6,8.6,9.45,34.34,34.34,1.11,13.13,32.34,32.34,32.37,14.22,4.61,1135.54,91.91,8.09
2891,中信金,19-Dec,0.72,1.28,12.32,12.09,21.93,15.9,16.2,2.12,-15.8,19.0,19.0,16.63,8.1,20.97,1531.46,93.87,6.13
2892,第一金,19-Dec,0.63,0.87,9.11,9.11,12.6,31.08,31.08,1.55,3.43,11.75,11.75,11.71,9.25,7.03,1359.4,93.15,6.85
5880,合庫金,19-Dec,0.49,0.66,8.02,8.02,10.9,35.87,35.87,1.33,4.74,9.97,9.97,9.97,6.59,6.79,1548.02,93.93,6.07
2880,華南金,19-Sep,0.48,0.66,7.22,7.22,9.79,35.95,35.95,1.3,2.35,10.08,10.08,10.08,0.68,7.48,1342.95,93.07,6.93
2881,富邦金,19-Sep,0.68,1.83,10.17,10.17,27.45,15.78,15.78,4.74,4.02,7.45,7.45,7.45,9.01,13.28,1289.72,92.8,7.2
2882,國泰金,19-Sep,0.54,2.35,8.27,8.27,35.69,13.63,13.63,3.63,6.67,-4.48,-4.48,-4.48,7.47,19.72,1257.33,92.63,7.37
2883,開發金,19-Sep,0.6,2.24,6.79,6.79,25.12,9.26,9.26,0.69,-1.19,23.74,23.74,23.74,10.18,20.56,950.58,90.48,9.52
2884,玉山金,19-Sep,0.67,0.69,9.61,9.61,9.84,38.78,38.78,1.67,9.23,18.4,18.4,18.4,12.31,7.86,1344.09,93.08,6.92
2885,元大金,19-Sep,0.8,0.91,7.66,7.66,8.79,23.9,23.9,1.64,2.75,2.16,2.16,2.16,3.81,5.31,860.69,89.59,10.41
2886,兆豐金,19-Sep,0.64,0.79,7.18,7.18,8.83,45.89,45.89,2.05,3.73,-0.8,-0.8,-0.81,1.66,2.88,1009.55,90.99,9.01
2887,台新金,19-Sep,0.63,0.67,6.79,6.79,7.27,36.12,36.12,1.11,6.97,5.91,5.91,5.91,11.86,11.42,1038.93,91.22,8.78
2888,新光金,19-Sep,0.53,1.18,10.68,10.68,23.81,9.83,9.83,0.75,5.08,3.47,3.47,3.47,9.22,30.97,1608.85,94.15,5.85
2889,國票金,19-Sep,0.86,1.57,6.44,6.33,11.73,44.93,45.72,0.9,23.82,43.6,43.6,41.07,3.82,11.08,623.43,86.18,13.82
2890,永豐金,19-Sep,0.55,0.65,6.62,6.62,7.73,34.07,34.07,0.98,11.31,20.1,20.1,20.1,13.47,3.55,1152.06,92.01,7.99
